sale_date,product_id,product_name,category,cost_price,unit_price,unit,day_of_week,is_weekend,month,day_of_month,year,festival,is_festival,days_to_next_festival,forecast_qty
2025-11-13,205,,Flour,65.0,72.0,pcs,3,0,11,13,2025,none,0,-1,3.97623912589832
2025-11-14,205,,Flour,65.0,72.0,pcs,4,1,11,14,2025,none,0,-1,3.928505799615435
2025-11-15,205,,Flour,65.0,72.0,pcs,5,1,11,15,2025,none,0,-1,3.928505799615435
2025-11-16,205,,Flour,65.0,72.0,pcs,6,0,11,16,2025,none,0,-1,3.928505799615435
2025-11-17,205,,Flour,65.0,72.0,pcs,0,0,11,17,2025,none,0,-1,3.97623912589832
2025-11-11,206,,Flour,130.0,144.0,pcs,1,0,11,11,2025,none,0,-1,3.5967438276551915
2025-11-12,206,,Flour,130.0,144.0,pcs,2,0,11,12,2025,none,0,-1,3.626383135728173
2025-11-13,206,,Flour,130.0,144.0,pcs,3,0,11,13,2025,none,0,-1,3.626383135728173
2025-11-14,206,,Flour,130.0,144.0,pcs,4,1,11,14,2025,none,0,-1,3.5412526602991643
2025-11-15,206,,Flour,130.0,144.0,pcs,5,1,11,15,2025,none,0,-1,3.5412526602991643
2025-11-16,206,,Flour,130.0,144.0,pcs,6,0,11,16,2025,none,0,-1,3.626383135728173
2025-11-17,206,,Flour,130.0,144.0,pcs,0,0,11,17,2025,none,0,-1,3.626383135728173
2025-11-11,207,,Flour,63.0,70.0,pcs,1,0,11,11,2025,none,0,-1,3.707592590870681
2025-11-12,207,,Flour,63.0,70.0,pcs,2,0,11,12,2025,none,0,-1,3.707592590870681
2025-11-13,207,,Flour,63.0,70.0,pcs,3,0,11,13,2025,none,0,-1,3.707592590870681
2025-11-14,207,,Flour,63.0,70.0,pcs,4,1,11,14,2025,none,0,-1,3.730909089337696
2025-11-15,207,,Flour,63.0,70.0,pcs,5,1,11,15,2025,none,0,-1,3.730909089337696
2025-11-16,207,,Flour,63.0,70.0,pcs,6,0,11,16,2025,none,0,-1,3.671451611191996
2025-11-17,207,,Flour,63.0,70.0,pcs,0,0,11,17,2025,none,0,-1,3.671451611191996
2025-11-11,208,,Flour,308.0,340.0,pcs,1,0,11,11,2025,none,0,-1,3.2650090261225726
2025-11-12,208,,Flour,308.0,340.0,pcs,2,0,11,12,2025,none,0,-1,3.255602133730839
2025-11-13,208,,Flour,308.0,340.0,pcs,3,0,11,13,2025,none,0,-1,3.255602133730839
2025-11-14,208,,Flour,308.0,340.0,pcs,4,1,11,14,2025,none,0,-1,3.255602133730839
2025-11-15,208,,Flour,308.0,340.0,pcs,5,1,11,15,2025,none,0,-1,3.2778589504882523
2025-11-16,208,,Flour,308.0,340.0,pcs,6,0,11,16,2025,none,0,-1,3.2778589504882523
2025-11-17,208,,Flour,308.0,340.0,pcs,0,0,11,17,2025,none,0,-1,3.2650090261225726
2025-11-11,209,,Flour,60.0,68.0,kg,1,0,11,11,2025,none,0,-1,3.4183216793345403
2025-11-12,209,,Flour,60.0,68.0,kg,2,0,11,12,2025,none,0,-1,3.4183216793345403
2025-11-13,209,,Flour,60.0,68.0,kg,3,0,11,13,2025,none,0,-1,3.4183216793345403
2025-11-14,209,,Flour,60.0,68.0,kg,4,1,11,14,2025,none,0,-1,3.4183216793345403
2025-11-15,209,,Flour,60.0,68.0,kg,5,1,11,15,2025,none,0,-1,3.4183216793345403
2025-11-16,209,,Flour,60.0,68.0,kg,6,0,11,16,2025,none,0,-1,3.4183216793345403
2025-11-17,209,,Flour,60.0,68.0,kg,0,0,11,17,2025,none,0,-1,3.4183216793345403
2025-11-11,210,,Flour,82.0,90.0,kg,1,0,11,11,2025,none,0,-1,3.328457107815639
2025-11-12,210,,Flour,82.0,90.0,kg,2,0,11,12,2025,none,0,-1,3.309181013238511
2025-11-13,210,,Flour,82.0,90.0,kg,3,0,11,13,2025,none,0,-1,3.309181013238511
2025-11-14,210,,Flour,82.0,90.0,kg,4,1,11,14,2025,none,0,-1,3.309181013238511
2025-11-15,210,,Flour,82.0,90.0,kg,5,1,11,15,2025,none,0,-1,3.309181013238511
2025-11-16,210,,Flour,82.0,90.0,kg,6,0,11,16,2025,none,0,-1,3.309181013238511
2025-11-17,210,,Flour,82.0,90.0,kg,0,0,11,17,2025,none,0,-1,3.328457107815639
2025-11-11,211,,Flour,48.0,55.0,pcs,1,0,11,11,2025,none,0,-1,3.5505194796979813
2025-11-12,211,,Flour,48.0,55.0,pcs,2,0,11,12,2025,none,0,-1,3.5505194796979813
2025-11-13,211,,Flour,48.0,55.0,pcs,3,0,11,13,2025,none,0,-1,3.5505194796979813
2025-11-14,211,,Flour,48.0,55.0,pcs,4,1,11,14,2025,none,0,-1,3.5505194796979813
2025-11-15,211,,Flour,48.0,55.0,pcs,5,1,11,15,2025,none,0,-1,3.5505194796979813
2025-11-16,211,,Flour,48.0,55.0,pcs,6,0,11,16,2025,none,0,-1,3.5505194796979813
2025-11-17,211,,Flour,48.0,55.0,pcs,0,0,11,17,2025,none,0,-1,3.5505194796979813
2025-11-11,212,,Flour,92.0,105.0,kg,1,0,11,11,2025,none,0,-1,4.115407856063052
2025-11-12,212,,Flour,92.0,105.0,kg,2,0,11,12,2025,none,0,-1,4.176768183063781
2025-11-13,212,,Flour,92.0,105.0,kg,3,0,11,13,2025,none,0,-1,4.176768183063781
2025-11-14,212,,Flour,92.0,105.0,kg,4,1,11,14,2025,none,0,-1,3.7798787101893114
2025-11-15,212,,Flour,92.0,105.0,kg,5,1,11,15,2025,none,0,-1,3.3128646063192297
2025-11-16,212,,Flour,92.0,105.0,kg,6,0,11,16,2025,none,0,-1,3.3128646063192297
2025-11-17,212,,Flour,92.0,105.0,kg,0,0,11,17,2025,none,0,-1,3.719074682399045
2025-11-11,213,,Flour,108.0,120.0,kg,1,0,11,11,2025,none,0,-1,3.5857777768704624
2025-11-12,213,,Flour,108.0,120.0,kg,2,0,11,12,2025,none,0,-1,3.5857777768704624
2025-11-13,213,,Flour,108.0,120.0,kg,3,0,11,13,2025,none,0,-1,3.5857777768704624
2025-11-14,213,,Flour,108.0,120.0,kg,4,1,11,14,2025,none,0,-1,3.5857777768704624
2025-11-15,213,,Flour,108.0,120.0,kg,5,1,11,15,2025,none,0,-1,3.5857777768704624
2025-11-16,213,,Flour,108.0,120.0,kg,6,0,11,16,2025,none,0,-1,3.5857777768704624
2025-11-17,213,,Flour,108.0,120.0,kg,0,0,11,17,2025,none,0,-1,3.5857777768704624
2025-11-11,214,,Flour,42.0,48.0,pcs,1,0,11,11,2025,none,0,-1,4.035191838182991
2025-11-12,214,,Flour,42.0,48.0,pcs,2,0,11,12,2025,none,0,-1,4.035191838182991
2025-11-13,214,,Flour,42.0,48.0,pcs,3,0,11,13,2025,none,0,-1,3.60795764521099
2025-11-14,214,,Flour,42.0,48.0,pcs,4,1,11,14,2025,none,0,-1,2.9343519596864724
2025-11-15,214,,Flour,42.0,48.0,pcs,5,1,11,15,2025,none,0,-1,2.9343519596864724
2025-11-16,214,,Flour,42.0,48.0,pcs,6,0,11,16,2025,none,0,-1,3.0410670678498897
2025-11-17,214,,Flour,42.0,48.0,pcs,0,0,11,17,2025,none,0,-1,3.273413157414078
2025-11-11,215,,Flour,68.0,75.0,pcs,1,0,11,11,2025,none,0,-1,3.5770649744724814
2025-11-12,215,,Flour,68.0,75.0,pcs,2,0,11,12,2025,none,0,-1,3.8942383604389947
2025-11-13,215,,Flour,68.0,75.0,pcs,3,0,11,13,2025,none,0,-1,3.611001520371338
2025-11-14,215,,Flour,68.0,75.0,pcs,4,1,11,14,2025,none,0,-1,3.585317898414923
2025-11-15,215,,Flour,68.0,75.0,pcs,5,1,11,15,2025,none,0,-1,3.585317898414923
2025-11-16,215,,Flour,68.0,75.0,pcs,6,0,11,16,2025,none,0,-1,3.756536563232997
2025-11-17,215,,Flour,68.0,75.0,pcs,0,0,11,17,2025,none,0,-1,4.013027391810935
2025-11-11,216,,Oil,175.0,189.0,pcs,1,0,11,11,2025,none,0,-1,3.716245791195619
2025-11-12,216,,Oil,175.0,189.0,pcs,2,0,11,12,2025,none,0,-1,3.716245791195619
2025-11-13,216,,Oil,175.0,189.0,pcs,3,0,11,13,2025,none,0,-1,3.716245791195619
2025-11-14,216,,Oil,175.0,189.0,pcs,4,1,11,14,2025,none,0,-1,3.716245791195619
2025-11-15,216,,Oil,175.0,189.0,pcs,5,1,11,15,2025,none,0,-1,3.716245791195619
2025-11-16,216,,Oil,175.0,189.0,pcs,6,0,11,16,2025,none,0,-1,3.716245791195619
2025-11-17,216,,Oil,175.0,189.0,pcs,0,0,11,17,2025,none,0,-1,3.716245791195619
2025-11-11,217,,Oil,350.0,378.0,pcs,1,0,11,11,2025,none,0,-1,3.608974965346777
2025-11-12,217,,Oil,350.0,378.0,pcs,2,0,11,12,2025,none,0,-1,3.608974965346777
2025-11-13,217,,Oil,350.0,378.0,pcs,3,0,11,13,2025,none,0,-1,3.608974965346777
2025-11-14,217,,Oil,350.0,378.0,pcs,4,1,11,14,2025,none,0,-1,3.608974965346777
2025-11-15,217,,Oil,350.0,378.0,pcs,5,1,11,15,2025,none,0,-1,3.6645392287397294
2025-11-16,217,,Oil,350.0,378.0,pcs,6,0,11,16,2025,none,0,-1,3.6645392287397294
2025-11-17,217,,Oil,350.0,378.0,pcs,0,0,11,17,2025,none,0,-1,3.6645392287397294
2025-11-11,218,,Oil,875.0,945.0,pcs,1,0,11,11,2025,none,0,-1,3.39123874747438
2025-11-12,218,,Oil,875.0,945.0,pcs,2,0,11,12,2025,none,0,-1,3.39123874747438
2025-11-13,218,,Oil,875.0,945.0,pcs,3,0,11,13,2025,none,0,-1,3.39123874747438
2025-11-14,218,,Oil,875.0,945.0,pcs,4,1,11,14,2025,none,0,-1,3.39123874747438
2025-11-15,218,,Oil,875.0,945.0,pcs,5,1,11,15,2025,none,0,-1,3.39123874747438
2025-11-16,218,,Oil,875.0,945.0,pcs,6,0,11,16,2025,none,0,-1,3.39123874747438
2025-11-17,218,,Oil,875.0,945.0,pcs,0,0,11,17,2025,none,0,-1,3.39123874747438
2025-11-11,219,,Oil,175.0,189.0,pcs,1,0,11,11,2025,none,0,-1,2.9985578840269773
2025-11-12,219,,Oil,175.0,189.0,pcs,2,0,11,12,2025,none,0,-1,2.9985578840269773
2025-11-13,219,,Oil,175.0,189.0,pcs,3,0,11,13,2025,none,0,-1,2.9985578840269773
2025-11-14,219,,Oil,175.0,189.0,pcs,4,1,11,14,2025,none,0,-1,2.9985578840269773
2025-11-15,219,,Oil,175.0,189.0,pcs,5,1,11,15,2025,none,0,-1,2.9985578840269773
2025-11-16,219,,Oil,175.0,189.0,pcs,6,0,11,16,2025,none,0,-1,2.9985578840269773
2025-11-17,219,,Oil,175.0,189.0,pcs,0,0,11,17,2025,none,0,-1,2.9985578840269773
2025-11-11,220,,Oil,350.0,378.0,pcs,1,0,11,11,2025,none,0,-1,3.1967148983714995
2025-11-12,220,,Oil,350.0,378.0,pcs,2,0,11,12,2025,none,0,-1,3.1967148983714995
2025-11-13,220,,Oil,350.0,378.0,pcs,3,0,11,13,2025,none,0,-1,3.896395131300902
2025-11-14,220,,Oil,350.0,378.0,pcs,4,1,11,14,2025,none,0,-1,3.896395131300902
2025-11-15,220,,Oil,350.0,378.0,pcs,5,1,11,15,2025,none,0,-1,3.7058913496456833
2025-11-16,220,,Oil,350.0,378.0,pcs,6,0,11,16,2025,none,0,-1,3.7058913496456833
2025-11-17,220,,Oil,350.0,378.0,pcs,0,0,11,17,2025,none,0,-1,3.1967148983714995
2025-11-11,221,,Oil,875.0,945.0,pcs,1,0,11,11,2025,none,0,-1,3.3584677419203044
2025-11-12,221,,Oil,875.0,945.0,pcs,2,0,11,12,2025,none,0,-1,3.3584677419203044
2025-11-13,221,,Oil,875.0,945.0,pcs,3,0,11,13,2025,none,0,-1,3.3584677419203044
2025-11-14,221,,Oil,875.0,945.0,pcs,4,1,11,14,2025,none,0,-1,3.339673912000056
2025-11-15,221,,Oil,875.0,945.0,pcs,5,1,11,15,2025,none,0,-1,3.339673912000056
2025-11-16,221,,Oil,875.0,945.0,pcs,6,0,11,16,2025,none,0,-1,3.339673912000056
2025-11-17,221,,Oil,875.0,945.0,pcs,0,0,11,17,2025,none,0,-1,3.3584677419203044
2025-11-11,222,,Oil,172.0,185.0,pcs,1,0,11,11,2025,none,0,-1,3.5851007432756847
2025-11-12,222,,Oil,172.0,185.0,pcs,2,0,11,12,2025,none,0,-1,3.5851007432756847
2025-11-13,222,,Oil,172.0,185.0,pcs,3,0,11,13,2025,none,0,-1,3.5851007432756847
2025-11-14,222,,Oil,172.0,185.0,pcs,4,1,11,14,2025,none,0,-1,3.5851007432756847
2025-11-15,222,,Oil,172.0,185.0,pcs,5,1,11,15,2025,none,0,-1,3.5851007432756847
2025-11-16,222,,Oil,172.0,185.0,pcs,6,0,11,16,2025,none,0,-1,3.5851007432756847
2025-11-17,222,,Oil,172.0,185.0,pcs,0,0,11,17,2025,none,0,-1,3.5851007432756847
2025-11-11,223,,Oil,862.0,925.0,pcs,1,0,11,11,2025,none,0,-1,3.839640607626235
2025-11-12,223,,Oil,862.0,925.0,pcs,2,0,11,12,2025,none,0,-1,4.060681989274914
2025-11-13,223,,Oil,862.0,925.0,pcs,3,0,11,13,2025,none,0,-1,4.060681989274914
2025-11-14,223,,Oil,862.0,925.0,pcs,4,1,11,14,2025,none,0,-1,3.9365936511877684
2025-11-15,223,,Oil,862.0,925.0,pcs,5,1,11,15,2025,none,0,-1,3.5315704063432403
2025-11-16,223,,Oil,862.0,925.0,pcs,6,0,11,16,2025,none,0,-1,3.498459328704433
2025-11-17,223,,Oil,862.0,925.0,pcs,0,0,11,17,2025,none,0,-1,3.8182126329240442
2025-11-11,224,,Oil,182.0,195.0,pcs,1,0,11,11,2025,none,0,-1,3.859802467412051
2025-11-12,224,,Oil,182.0,195.0,pcs,2,0,11,12,2025,none,0,-1,3.859802467412051
2025-11-13,224,,Oil,182.0,195.0,pcs,3,0,11,13,2025,none,0,-1,3.824512145634146
2025-11-14,224,,Oil,182.0,195.0,pcs,4,1,11,14,2025,none,0,-1,3.824512145634146
2025-11-15,224,,Oil,182.0,195.0,pcs,5,1,11,15,2025,none,0,-1,3.824512145634146
2025-11-16,224,,Oil,182.0,195.0,pcs,6,0,11,16,2025,none,0,-1,3.824512145634146
2025-11-17,224,,Oil,182.0,195.0,pcs,0,0,11,17,2025,none,0,-1,3.859802467412051
2025-11-11,225,,Oil,91.0,98.0,pcs,1,0,11,11,2025,none,0,-1,3.252309835617023
2025-11-12,225,,Oil,91.0,98.0,pcs,2,0,11,12,2025,none,0,-1,3.252309835617023
2025-11-13,225,,Oil,91.0,98.0,pcs,3,0,11,13,2025,none,0,-1,3.252309835617023
2025-11-14,225,,Oil,91.0,98.0,pcs,4,1,11,14,2025,none,0,-1,3.252309835617023
2025-11-15,225,,Oil,91.0,98.0,pcs,5,1,11,15,2025,none,0,-1,3.252309835617023
2025-11-16,225,,Oil,91.0,98.0,pcs,6,0,11,16,2025,none,0,-1,3.252309835617023
2025-11-17,225,,Oil,91.0,98.0,pcs,0,0,11,17,2025,none,0,-1,3.252309835617023
2025-11-11,226,,Oil,905.0,975.0,pcs,1,0,11,11,2025,none,0,-1,3.441666666501098
2025-11-12,226,,Oil,905.0,975.0,pcs,2,0,11,12,2025,none,0,-1,3.441666666501098
2025-11-13,226,,Oil,905.0,975.0,pcs,3,0,11,13,2025,none,0,-1,3.441666666501098
2025-11-14,226,,Oil,905.0,975.0,pcs,4,1,11,14,2025,none,0,-1,3.401190476261434
2025-11-15,226,,Oil,905.0,975.0,pcs,5,1,11,15,2025,none,0,-1,3.401190476261434
2025-11-16,226,,Oil,905.0,975.0,pcs,6,0,11,16,2025,none,0,-1,3.401190476261434
2025-11-17,226,,Oil,905.0,975.0,pcs,0,0,11,17,2025,none,0,-1,3.441666666501098
2025-11-11,227,,Oil,173.0,188.0,pcs,1,0,11,11,2025,none,0,-1,3.573239234588626
2025-11-12,227,,Oil,173.0,188.0,pcs,2,0,11,12,2025,none,0,-1,3.573239234588626
2025-11-13,227,,Oil,173.0,188.0,pcs,3,0,11,13,2025,none,0,-1,3.480176600366989
2025-11-14,227,,Oil,173.0,188.0,pcs,4,1,11,14,2025,none,0,-1,3.4158838173165558
2025-11-15,227,,Oil,173.0,188.0,pcs,5,1,11,15,2025,none,0,-1,3.4158838173165558
2025-11-16,227,,Oil,173.0,188.0,pcs,6,0,11,16,2025,none,0,-1,3.4158838173165558
2025-11-17,227,,Oil,173.0,188.0,pcs,0,0,11,17,2025,none,0,-1,3.573239234588626
2025-11-11,228,,Oil,172.0,187.0,pcs,1,0,11,11,2025,none,0,-1,3.610330208916581
2025-11-12,228,,Oil,172.0,187.0,pcs,2,0,11,12,2025,none,0,-1,3.610330208916581
2025-11-13,228,,Oil,172.0,187.0,pcs,3,0,11,13,2025,none,0,-1,3.610330208916581
2025-11-14,228,,Oil,172.0,187.0,pcs,4,1,11,14,2025,none,0,-1,3.637578884777637
2025-11-15,228,,Oil,172.0,187.0,pcs,5,1,11,15,2025,none,0,-1,3.637578884777637
2025-11-16,228,,Oil,172.0,187.0,pcs,6,0,11,16,2025,none,0,-1,3.637578884777637
